Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Lndscp,Rgn,Time,Wthr,Wndspd,Grsl,Agri,Scrb,Wdl,Brn,Grdvg_ht,Grdvg_cov,Arth,Act_dstb,Psv_dstb,sel
967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.5,1,1,0,0,1,0,0,0.962,0.743,0.096,0.286,0,1
976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0,1,1.333,0.333,0,0.033,0.133,0.5,0.826,0.243,0.061,0.133,0,1
982,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.231,0.769,1.538,0,0.09,0.577,0.308,0.026,0.501,0.192,0.285,0.769,0.385,1
985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.267,1,1.733,0.633,0,0,0.233,0.133,0.211,0.677,0.393,0.333,0,1
989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.375,1,1.438,0.219,0,0,0.656,0.125,0.888,0.488,0.961,0.438,0.063,1
990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.143,1,1.071,0,0,0.214,0.786,0,0.993,0.743,0.281,0.286,0.143,1
992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.5,0.938,0.813,0,0.031,0.969,0,0,0.967,0.594,0.311,0.438,0.25,1
1001,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.636,1,1,0.364,0,0,0.545,0.091,0.18,0.445,0.035,0.545,0,1
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.467,1,0.733,0,0,0,0.967,0.033,1.01,0.697,0.082,1,0.4,1
1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.267,0.8,1.267,0,0,0.5,0.5,0,0.872,0.86,1.15,0.933,0.133,1
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.286,1,0.857,0.393,0,0,0.607,0,0.1,0.336,0.458,0.571,0,1
41 B,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0,1,1,0,0.067,0.333,0.083,0.517,0.909,0.515,0,0.2,0.5,1
49-B,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.429,0.429,2,0.31,0.238,0.31,0.143,0,0.653,0.443,0.657,0.143,0.714,1
484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.714,1,1.071,0.143,0.786,0,0.071,0,0.272,0.314,0.46,1.571,1.714,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.471,1,1.647,0.5,0.5,0,0,0,0.158,0.591,0.229,2.529,2,0
500,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.615,0.615,1.615,0.038,0.846,0.115,0,0,0.295,0.288,0.772,2.077,2,0
510,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.444,1,1.111,0.444,0.556,0,0,0,0.147,0.511,1.333,2.333,1.889,0
511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.588,0.765,1.059,0.118,0.853,0,0.029,0,0.353,0.2,1.765,1.647,2.118,0
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.5,0.76,1.929,0.214,0.786,0,0,0,0.407,0.318,0.532,1.286,1.5,0
518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.267,1,1.4,0,0.878,0.078,0.044,0,0.35,0.277,0.583,2,1.933,0
521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.4,0.76,2,0.038,0.962,0,0,0,0.289,0.22,0.575,2.533,1.867,0
523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.571,1,1,0.571,0.429,0,0,0,0.229,0.654,0.35,1.429,0.929,0
527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.357,1,1.786,0.095,0.845,0,0.06,0,0.419,0.136,2.077,1.929,1.5,0
529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.6,0.933,1.2,0.133,0.867,0,0,0,0.203,0.307,1.25,1.4,1,0
530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.625,0.75,1.75,0.156,0.844,0,0,0,0.437,0.325,0.207,1.375,1.188,0
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.429,0.857,1.714,0.143,0.714,0.107,0.036,0,0.496,0.289,0.267,2.286,1.429,0
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.722,0.889,1.167,0.472,0.528,0,0,0,0.195,0.494,0.458,2.778,2.111,0
1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Pratapgarh,Rajr,0.563,1,0.75,0.083,0.708,0.083,0.125,0,0.393,0.372,0.442,1.625,1.438,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.556,0.778,1.111,0.194,0.806,0,0,0,0.23,0.328,0.754,1.111,1.556,1
359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.778,0.944,1,0.028,0.861,0.056,0.056,0,0.215,0.189,0.532,1.056,2.444,1
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.75,0.938,1.333,0.448,0.365,0.104,0.083,0,0.13,0.483,1.232,1.563,2.25,1
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Ratlam,MP,0.529,0.765,1.059,0.588,0.294,0.059,0.059,0,0.21,0.606,1.015,1.353,1.176,1
